id,category,buwei,tiduan,xingdong,fangxiang,weizhi,detail,
1,其它,下肢,臀部,松动,内收,站立,"练习者站立于桌子前，双脚与肩同宽，确保身体平衡。将双手放在桌子上，手掌向下，手指尖向前。吸气，慢慢抬起左脚，尽量保持身体稳定。将左脚沿桌子表面缓慢向前移动，直至小腿与桌面平行。在此过程中，保持呼吸均匀。然后，慢慢将左脚回到起始位置，重复此动作，然后换右脚进行。
此动作的主要目标是增强核心肌群、平衡能力和下肢灵活性。重点关注股四头肌、臀大肌和核心稳定肌群的参与。动作执行时，应注意保持脊柱的中性位置，避免过度弯曲或伸展。
在进行此康复练习时，建议每周至少进行三次，每次每只脚重复10-15次，根据个人体能逐渐增加次数。在练习过程中，如感到任何不适，应立即停止并咨询专业医疗人员。",,
2,其它,下肢,臀部,松动,打圈,站立,"练习者站立于桌子前，双脚与肩同宽，确保身体平衡。将双手放在桌子上，手掌向下，手指尖向前。保持呼吸均匀。然后，慢慢将双脚向外展开，直至感到胯关节舒适的最大范围，保持几秒钟。接着，慢慢将双脚向内收回，并轻轻环转胯关节，模拟自然行走时的动作。每个方向重复10次，完成一组，然后休息30秒，再进行下一组训练。
此动作的主要目标是提高胯关节的灵活性和稳定性。重点关注股四头肌、臀大肌和核心稳定肌群的参与。动作执行时，应注意保持脊柱的中性位置，避免过度弯曲或伸展。
在进行此康复练习时，建议每周至少进行三次，每次每只脚重复10-15次，根据个人体能逐渐增加次数。在练习过程中，如感到任何不适，应立即停止并咨询专业医疗人员。",,
3,其它,下肢,臀部,松动,打圈,坐位,"练习者坐在稳固的椅子前，双腿伸直，双脚平放在地面上。缓慢地屈曲左胯关节，直至感到舒适的最大范围，同时保持右腿伸直。然后，将左腿向外进行旋转，模拟自然行走时的动作。在此过程中，保持呼吸均匀。接着，慢慢将左腿回到起始位置，重复此动作，然后换右腿进行。
此动作的主要目标是提高胯关节的灵活性和稳定性。重点关注股四头肌、臀大肌和核心稳定肌群的参与。动作执行时，应注意保持脊柱的中性位置，避免过度弯曲或伸展。
在进行此康复练习时，建议每周至少进行三次，每次每只脚重复10-15次，根据个人体能逐渐增加次数。在练习过程中，如感到任何不适，应立即停止并咨询专业医疗人员。",,
4,其它,下肢,臀部,松动,打圈,仰卧,"练习者仰卧在稳固的地面上，双腿伸直。将双手放在膝盖上方，轻轻抓住膝盖，确保动作舒适。吸气，慢慢将膝盖向上抬起，同时保持身体其他部位不动。将膝盖沿身体中线缓慢向前旋转，直至感到舒适的最大范围。在此过程中，保持呼吸均匀。然后，慢慢将膝盖回到起始位置，重复此动作。
此动作的主要目标是提高膝盖和臀部的灵活性以及核心肌群的力量。重点关注股四头肌、臀大肌和核心稳定肌群的参与。动作执行时，应注意保持脊柱的中性位置，避免过度弯曲或伸展。
在进行此康复练习时，建议每周至少进行三次，每次每只膝盖重复10-15次，根据个人体能逐渐增加次数。在练习过程中，如感到任何不适，应立即停止并咨询专业医疗人员。",,
5,其它,下肢,臀部,松动,打圈,仰卧,"练习者平躺在稳固的地面上，双腿伸直。缓慢地屈曲双胯关节，使膝盖向胸部靠拢。同时，将双手放在膝盖上方，轻轻抱住膝盖，协助臀部抬起。在此过程中，保持呼吸均匀。然后，慢慢将膝盖和臀部放下，回到起始位置，重复此动作。
此动作的主要目标是提高臀部和核心肌群的稳定性和灵活性。重点关注股四头肌、臀大肌和核心稳定肌群的参与。动作执行时，应注意保持脊柱的中性位置，避免过度弯曲或伸展。
在进行此康复练习时，建议每周至少进行三次，每次每侧重复10-15次，根据个人体能逐渐增加次数。在练习过程中，如感到任何不适，应立即停止并咨询专业医疗人员。",,
6,其它,下肢,臀部,松动,伸,站立,"练习者站在稳固的桌子旁，双脚与肩同宽，确保身体平衡。将双手放在桌子上，手掌向下，手指尖向前。吸气，慢慢抬起左腿，尽量保持身体稳定。将左腿沿桌子表面缓慢向前摆动，直至小腿与桌面平行。在此过程中，保持呼吸均匀。然后，慢慢将左腿摆回到起始位置，重复此动作，然后换右腿进行。
此动作的主要目标是增强核心肌群、平衡能力和下肢灵活性。重点关注股四头肌、臀大肌和核心稳定肌群的参与。动作执行时，应注意保持脊柱的中性位置，避免过度弯曲或伸展。
在进行此康复练习时，建议每周至少进行三次，每次每只腿重复10-15次，根据个人体能逐渐增加次数。在练习过程中，如感到任何不适，应立即停止并咨询专业医疗人员。",,
7,其它,下肢,臀部,松动,伸,站立,"练习者站在稳固的桌子旁，双脚与肩同宽，确保身体平衡。将双手放在桌子上，手掌向下，手指尖向前。吸气，慢慢抬起左腿，尽量保持身体稳定。将左腿沿桌子表面缓慢向前伸展，同时带动臀部轻微弯曲。在此过程中，保持呼吸均匀。然后，慢慢将左腿回到起始位置，重复此动作，然后换右腿进行。
此动作的主要目标是增强核心肌群、平衡能力和下肢灵活性。重点关注股四头肌、臀大肌和核心稳定肌群的参与。动作执行时，应注意保持脊柱的中性位置，避免过度弯曲或伸展。
在进行此康复练习时，建议每周至少进行三次，每次每只腿重复10-15次，根据个人体能逐渐增加次数。在练习过程中，如感到任何不适，应立即停止并咨询专业医疗人员。",,
8,其它,下肢,臀部,松动,伸,站立,"练习者站立在稳固的桌子前，双脚与肩同宽，确保身体平衡。将双手放在桌面上，手掌向下，手指尖向前。吸气，慢慢抬起左脚，尽量保持身体稳定。将左脚向后提起，直至小腿与桌面平行。在此过程中，保持呼吸均匀。然后，慢慢将左脚放下回到起始位置，重复此动作，然后换右脚进行。
此动作的主要目标是增强核心肌群、平衡能力和下肢灵活性。重点关注股四头肌、臀大肌和核心稳定肌群的参与。动作执行时，应注意保持脊柱的中性位置，避免过度弯曲或伸展。
在进行此康复练习时，建议每周至少进行三次，每次每只脚重复10-15次，根据个人体能逐渐增加次数。在练习过程中，如感到任何不适，应立即停止并咨询专业医疗人员。",,
9,其它,下肢,臀部,松动,伸,站立,"练习者站立在稳固的桌子前，双脚与肩同宽，确保身体平衡。将双手放在桌子上，手掌向下，手指尖向前，与盆骨成一水平线。保持呼吸均匀。然后，慢慢伸展右臀部，尽量保持身体稳定。在此过程中，注意保持脊柱的中性位置，避免过度弯曲或伸展。
此动作的主要目标是增强核心肌群、平衡能力和下肢灵活性，同时锻炼臀部肌肉。重点关注股四头肌、臀大肌和核心稳定肌群的参与。
在进行此康复练习时，建议每周至少进行三次，每次每侧臀部重复10-15次，根据个人体能逐渐增加次数。在练习过程中，如感到任何不适，应立即停止并咨询专业医疗人员。",,
10,其它,下肢,臀部,松动,屈曲,站立,"练习者站在稳固的桌子旁，双脚与肩同宽，确保身体平衡。将双手放在桌子上，手掌向下，手指尖向前。吸气，慢慢抬起左腿，尽量保持身体稳定。将左腿沿桌子表面缓慢向前摆动，直至小腿与桌面平行。在此过程中，保持呼吸均匀。然后，慢慢将左腿摆回到起始位置，重复此动作，然后换右腿进行。
此动作的主要目标是增强核心肌群、平衡能力和下肢灵活性。重点关注股四头肌、臀大肌和核心稳定肌群的参与。动作执行时，应注意保持脊柱的中性位置，避免过度弯曲或伸展。
在进行此康复练习时，建议每周至少进行三次，每次每只腿重复10-15次，根据个人体能逐渐增加次数。在练习过程中，如感到任何不适，应立即停止并咨询专业医疗人员。",,
11,其它,下肢,臀部,松动,屈曲,站立,"练习者站在稳固的桌子旁，双脚与肩同宽，确保身体平衡。将双手放在桌子上，手掌向下，手指尖向前。吸气，慢慢抬起左腿，尽量保持身体稳定。将左腿沿桌子表面缓慢向前伸展，同时带动臀部轻微弯曲。在此过程中，保持呼吸均匀。然后，慢慢将左腿回到起始位置，重复此动作，然后换右腿进行。
此动作的主要目标是增强核心肌群、平衡能力和下肢灵活性。重点关注股四头肌、臀大肌和核心稳定肌群的参与。动作执行时，应注意保持脊柱的中性位置，避免过度弯曲或伸展。
在进行此康复练习时，建议每周至少进行三次，每次每只腿重复10-15次，根据个人体能逐渐增加次数。在练习过程中，如感到任何不适，应立即停止并咨询专业医疗人员。",,
12,其它,下肢,臀部,松动,屈曲,站立,"练习者背对桌子站立，双脚与肩同宽，确保身体平衡。将双手向后扶着桌子，手掌向下，手指尖向前。吸气，慢慢向后弯曲躯干，并向前抬起胯部，尽量保持身体稳定。在此过程中，注意保持脊柱的中性位置，避免过度弯曲或伸展。
此动作的主要目标是增强核心肌群、平衡能力和下肢灵活性。重点关注股四头肌、臀大肌和核心稳定肌群的参与。
在进行此康复练习时，建议每周至少进行三次，每次每侧躯干和胯部重复10-15次，根据个人体能逐渐增加次数。在练习过程中，如感到任何不适，应立即停止并咨询专业医疗人员。",,
13,其它,下肢,臀部,松动,屈曲,坐位,"练习者端坐在椅子上，双脚平放在地面上，确保身体稳定。将一只手放在膝盖上，手掌向下，手指尖向前。吸气，然后慢慢弯曲胯部，尽量保持身体平衡。在此过程中，注意保持脊柱的中性位置，避免过度弯曲或伸展。
此动作的主要目标是增强核心肌群、平衡能力和下肢灵活性。重点关注股四头肌、臀大肌和核心稳定肌群的参与。
在进行此康复练习时，建议每周至少进行三次，每次每侧胯部重复10-15次，根据个人体能逐渐增加次数。在练习过程中，如感到任何不适，应立即停止并咨询专业医疗人员。",,
14,其它,下肢,臀部,松动,屈曲,坐位,"练习者端坐在椅子上，双脚平放在地面上，确保身体稳定。将双手放在膝盖上，手掌向下，手指尖向前。吸气，然后慢慢屈曲胯关节，尽量保持身体平衡。在此过程中，注意保持脊柱的中性位置，避免过度弯曲或伸展。接着，练习者将屈曲的胯关节向外旋转，直至感受到股四头肌、臀大肌和核心稳定肌群的充分拉伸。保持这个姿势几秒钟，然后慢慢将胯关节回到起始位置。重复此动作，然后换另一侧进行。
此动作的主要目标是增强核心肌群、平衡能力和下肢灵活性。重点关注股四头肌、臀大肌和核心稳定肌群的参与。
在进行此康复练习时，建议每周至少进行三次，每次每侧胯关节重复10-15次，根据个人体能逐渐增加次数。在练习过程中，如感到任何不适，应立即停止并咨询专业医疗人员。",,
15,其它,下肢,臀部,松动,屈曲,仰卧,"练习者平躺在地上，双腿伸直，双脚平放在地面上，确保身体放松。将双手交叉抱在膝盖上，手掌向下，手指尖向前。吸气，然后用双手向胸部拉膝盖，尽量保持身体平衡。在此过程中，注意保持脊柱的中性位置，避免过度弯曲或伸展。接着，练习者慢慢将膝盖拉向胸部，感受到股四头肌、臀大肌和核心稳定肌群的充分拉伸。保持这个姿势几秒钟，然后慢慢将膝盖回到起始位置。重复此动作，然后换另一侧进行。
此动作的主要目标是增强核心肌群、平衡能力和下肢灵活性。重点关注股四头肌、臀大肌和核心稳定肌群的参与。
在进行此康复练习时，建议每周至少进行三次，每次每侧膝盖重复10-15次，根据个人体能逐渐增加次数。在练习过程中，如感到任何不适，应立即停止并咨询专业医疗人员。",,
